ID,Longitude,Latitude,Portal,Password Required,Cover Letter,Job Type,Area,Province,Country,Skills,Responsibilities,Pay
1,-123.00691,49.19704,website,Yes,No,Full Time,Vancouver,BC,Canada,"Bachelor’s Degree or equivalent professional experience.
Outstanding technical communication skills.
10+ years of software development using object-oriented design and Service-Oriented Architecture.
Technical expertise in Java (J2EE, Spring Boot, Servlets/JSP, Hibernate) and JavaScript (HTML, CSS, AJAX, React/Redux).
Expertise in microservices architecture, clustered and distributed applications, MsSQL, Oracle database 10g/11g.
Knowledge of Test & Build frameworks (xUnit, Ant/Maven/npm, etc.), SCM, CI/CD practices.
Full stack development expertise from front-end to back-end services.
Experience with data structures, algorithms.
Bonus points if you're familiar with Agile/Scrum methodologies.",,
2,-123.11708,49.28662,website,Yes,No,Full Time,Vancouver,BC,Canada,"SQL, Communication, Project Methodology",,
3,-123.118179,49.287731,website,Yes,No,Full Time,Vancouver,BC,Canada,"python, R",,
4,-123.00993,49.24787,Indeed,Yes,Yes,Full Time,Vancouver,BC,Canada,"python, SQL",,
5,-123.00993,49.24787,Indeed,Yes,Yes,Full Time,Vancouver,BC,Canada,"python, methodology",,
6,-123.10163,49.27289,Indeed,Yes,Yes,Full Time,Vancouver,BC,Canada,"python, Communication",,
7,-122.97258,49.24422,Indeed,No,Yes,Full Time,Burnaby,BC,Canada,"python,Flowcharts",,
8,-123.11783,49.2884,Indeed,Yes,No,Full Time,Vancouver,BC,Canada,"python,statistics",,
9,-88.06732,41.79663,Linkedin,No,No,Full Time,Wodridge,IL,US,"python,Tableau",,
10,-123.122,49.27501,Linkedin,No,No,Full Time,Toronto,ON,Canada,"python, ?Knowledge of coding fundamentals, Trello, JavaScript, CSS, HTML, SQL and cloud server architecture are assets. Attention to detail, communications, especially clear and precise technical writing, and visual display of complex information (tables, flowcharts, etc); fast learning, especially the ability to discern users’ needs.",,
11,-123.15538,49.26821,Linkedin,No,Yes,Part Time,Vancouver,BC,Canada,python,,
12,-123.11993,49.28512,Linkedin,No,No,Full Time,Vancouver,BC,Canada,"?Knowledge of coding fundamentals, Trello, JavaScript, CSS, HTML, SQL and cloud server architecture are assets. Attention to detail, communications, especially clear and precise technical writing, and visual display of complex information (tables, flowcharts, etc); fast learning, especially the ability to discern users’ needs.
",,
13,-123.116943,49.281261,Indeed,Yes,Yes,Full Time,Vancouver,BC,Canada,"Structured Query Language (SQL)/Transact SQL
Data transformation scripting & mapping: eXtensible Markup Language (XML), eXtensible Stylesheet Language (XSL)/XPath
Familiarity with databases such as Microsoft (MS) SQL, Oracle, MySQL, etc
Scripting: Python/Groovy or development: Java/C#
Linux/Unix & Groovy is an asset
MapForce is an asset",,
14,-123.11694,49.28126,Indeed,Yes,No,Full Time,Vancouver,BC,Canada,"· 3+ years’ experience in System or Support Engineering
· 3+ years of System Engineering/Administration experience in distributed environment focusing on automation
· 3+ years of experience with the Linux operating system or AWS and its operation in production environment
· 3+ years of experience working in a DevOps environment
· Experience with system and application monitoring, software distribution, patching and maintenance",,
15,-123.1231,49.28577,Indeed,Yes,No,Full Time,Vancouver,BC,Canada,"communication, analytical skills, pera, Maestro, Google Adwords, Automated Revenue Management Systems and Synxis, transform, statistical techniques ",,
16,-123.13031,49.29032,Indeed,No,Optional,Full Time,Vancouver,BC,Canada,"Tableau, Qlik, Looker, statistics and/or econometric,SQL,analytical and quantitative,communicate ",,
